"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.233854170E-2,1.098364377E-1,9.742689192E-2,-5.325118498E-1,5.523811297E-1
4.233254166E-2,5.966937393E-3,1.120396686E-1,-3.413172900E-1,3.592853798E-1
5.232754163E-2,-7.054197907E-2,1.388690329E-1,-2.415859739E-1,2.874448849E-1
6.232254184E-2,-1.746352816E-1,1.190083802E-1,-2.373292009E-1,3.177823559E-1
7.231654180E-2,-1.742503886E-1,4.706540823E-2,-2.050993482E-1,2.732107121E-1
8.231154177E-2,-1.336366519E-1,-5.820435405E-2,-1.540875810E-1,2.121072469E-1
9.230654174E-2,-6.909325831E-2,-1.779108918E-1,-1.642015100E-1,2.517703311E-1
1.023005417E-1,1.255453480E-1,-1.622999954E-1,-1.480918461E-1,2.530496351E-1
1.122955417E-1,1.798673701E-1,-3.434011281E-2,-3.425415874E-2,1.862924088E-1
1.222905417E-1,1.762602228E-1,-2.882560372E-2,3.448103070E-2,1.818997610E-1
1.322845418E-1,2.149334148E-1,-9.124053776E-2,6.786468521E-2,2.431600790E-1
1.422795418E-1,1.669904125E-1,-7.394973636E-2,7.565697715E-2,1.976824210E-1
1.522745418E-1,1.594557635E-2,-9.471904635E-3,-8.555719033E-3,2.042495314E-2
1.622685418E-1,4.308615871E-2,-7.289723754E-3,-1.324598998E-1,1.394818346E-1
1.722635417E-1,1.698671696E-1,-1.019994146E-1,-2.140754820E-1,2.916968424E-1
1.822585417E-1,1.693875517E-1,-1.481357002E-1,-2.141649444E-1,3.106492424E-1
1.922525417E-1,2.098670948E-1,-1.363319260E-1,-1.676537061E-1,3.012280808E-1
2.022475416E-1,2.468028597E-1,-1.055404884E-1,-1.308660950E-1,2.986241468E-1
2.122425418E-1,2.241423409E-1,-6.033040166E-2,-1.009651883E-1,2.531274690E-1
2.222365418E-1,1.797857284E-1,-5.126721740E-2,-5.451461479E-2,1.947384886E-1
2.322315418E-1,1.540417535E-1,-7.406960428E-2,1.007460639E-2,1.712211021E-1
2.422265417E-1,1.001428505E-1,-6.615832150E-2,6.471449777E-2,1.363579122E-1
2.522205417E-1,3.492541909E-3,-2.160019934E-2,4.297937393E-2,4.822855009E-2
2.622155417E-1,-8.347083069E-2,4.358105242E-2,-1.218922269E-1,1.540272791E-1
2.722105416E-1,-4.240335010E-2,4.245195508E-2,-3.376107766E-1,3.429012235E-1
2.822045418E-1,-1.365909576E-2,2.995996356E-2,-4.921018155E-1,4.932021564E-1
2.921995418E-1,-6.521567725E-2,7.225345910E-2,-5.600302354E-1,5.684254669E-1
3.021945418E-1,-6.439173147E-2,7.153892934E-2,-4.949171036E-1,5.041895011E-1
3.121885417E-1,-1.152997836E-1,3.465761662E-2,-3.779705979E-1,3.966824465E-1
3.221835417E-1,-1.465185796E-1,2.649841189E-2,-2.609822845E-1,3.004689882E-1
3.321785417E-1,-1.211404212E-1,5.307049870E-2,-2.383892280E-1,2.726186045E-1
3.421725417E-1,-8.582930513E-2,1.138435346E-1,-3.513907635E-1,3.792129859E-1
3.521675416E-1,-1.055931133E-1,1.938960099E-1,-5.592025620E-1,6.012096752E-1
3.621625418E-1,-7.579393356E-1,2.240261275E-1,-4.947808635E-1,9.324525967E-1
3.721575418E-1,-8.134492195E-1,2.588661772E-1,-3.617958838E-1,9.271502532E-1
3.821515418E-1,-5.971666329E-1,2.249809778E-1,-2.242529994E-1,6.763976904E-1
3.921465417E-1,-3.544541929E-1,1.869664747E-1,-1.926265794E-1,4.446338230E-1
4.021415417E-1,3.097343221E-3,3.178195596E-2,-3.851293440E-1,3.864508997E-1
4.121355417E-1,1.825225908E-1,2.055881023E-3,-7.074476051E-1,7.306167510E-1
4.221305416E-1,-3.152400604E-1,8.836897016E-2,-5.744228643E-1,6.611709292E-1
4.321255418E-1,-3.746529608E-1,3.037891656E-1,-5.766828132E-1,7.518083301E-1
4.421195418E-1,-4.886734468E-1,4.307743174E-1,-3.898154488E-1,7.591602823E-1
4.521145418E-1,-8.268760347E-1,5.866786283E-1,-1.771910995E-2,1.014016645E0
4.621095418E-1,-8.615071195E-1,4.627948397E-1,-1.911215061E-1,9.964441835E-1
4.721036667E-1,-1.910781636E-1,5.865546674E-1,-2.619005898E-1,6.701859155E-1
4.820986667E-1,1.890624822E-1,4.324916446E-1,-4.251995820E-1,6.352860217E-1
4.920936667E-1,3.358415188E-1,3.101450890E-1,-3.409189850E-1,5.702677058E-1
5.020876667E-1,2.981592106E-1,2.156733799E-1,1.454144061E-1,3.956757146E-1
5.120826666E-1,-2.296877671E-2,1.148229432E-1,5.970591903E-1,6.084336855E-1
5.220776668E-1,-1.739407054E-1,1.878938431E-1,9.112844664E-1,9.465721546E-1
5.320716668E-1,-2.341798905E-1,2.134502685E-1,1.062589942E0,1.108827590E0
5.420666668E-1,-2.780218019E-1,1.254327160E-1,9.578692335E-1,1.005257657E0
5.520616667E-1,-5.017192427E-1,-5.879375339E-3,8.497781897E-1,9.868534527E-1
5.620556667E-1,-7.267002205E-1,-1.270155573E-1,6.435176575E-1,9.789489965E-1
5.720506667E-1,-8.948837574E-1,-3.455704451E-4,7.887554777E-1,1.192875627E0
5.820456666E-1,-9.759077476E-1,2.484873694E-1,9.508189532E-1,1.384990464E0
5.920396668E-1,-9.982979058E-1,3.635231513E-1,9.344581515E-1,1.414906296E0
6.020346668E-1,-1.159968156E0,1.522269970E-1,5.696696627E-1,1.301238912E0
6.120296668E-1,-1.025871913E0,1.322698653E-1,2.347259474E-1,1.060662420E0
6.220236667E-1,-6.905988532E-1,1.853356862E-1,2.944073081E-3,7.150417892E-1
6.320186667E-1,-5.763389603E-1,-3.182464063E-2,-5.763366580E-2,5.800871007E-1
6.420136667E-1,-3.668886624E-1,-3.286392474E-1,-1.362740386E-1,5.110593499E-1
6.520076666E-1,3.077535778E-3,-1.968424219E-1,-1.061257946E-1,2.236494904E-1
6.620026669E-1,2.463496274E-1,1.352110147E-1,-2.857563525E-1,4.007827971E-1
6.719976668E-1,1.574489260E-1,2.536551386E-1,-6.125589895E-1,6.814393658E-1
6.819916668E-1,-8.984100670E-2,1.688494617E-1,-8.108374876E-1,8.330900182E-1
6.919866668E-1,-3.086295638E-1,1.157105505E-1,-7.228705135E-1,7.944702124E-1
7.019816667E-1,-4.836424293E-1,1.618140918E-1,-4.641809222E-1,6.896069375E-1
7.119766667E-1,-6.343160404E-1,-1.877540946E-3,-1.623485273E-1,6.547651553E-1
7.219706667E-1,-4.445259453E-1,-5.509579879E-1,-3.704977101E-1,7.990160034E-1
7.319656666E-1,-2.019284762E-1,-8.575111324E-1,-5.564584637E-1,1.041991590E0
7.419606668E-1,1.715283635E-1,-7.703355789E-1,-5.172400188E-1,9.435974357E-1
7.519546668E-1,5.840560059E-1,-4.702845383E-1,-2.446521807E-1,7.887608348E-1
7.619496668E-1,1.036433739E0,-2.218679202E-1,-1.460061443E-1,1.069924326E0
7.719446667E-1,1.041423752E0,-2.213668138E-1,-9.123059750E-2,1.068592401E0
7.819386667E-1,5.787832792E-1,-6.170777178E-1,-1.184406155E-1,8.542851828E-1
7.919336667E-1,2.388679688E-1,-9.822205478E-1,-4.608208197E-1,1.110932464E0
8.019286667E-1,-3.599295987E-1,-9.697759187E-1,-9.377776158E-1,1.396224017E0
8.119226668E-1,-4.395410478E-1,-2.588655925E-1,-6.831717199E-1,8.526026780E-1
8.219176668E-1,9.933466297E-1,5.058490580E-1,-9.938547528E-1,1.493441685E0
8.319126668E-1,2.280405187E0,6.710826015E-1,-2.013844805E0,3.115472769E0
8.419066668E-1,2.343737988E0,2.441370410E-1,-2.300550746E0,3.293211865E0
8.519016667E-1,1.481330397E0,-2.463297468E-1,-2.004096327E0,2.504280372E0
8.618966667E-1,6.466872869E-1,-4.445199519E-1,-1.517959988E0,1.708802200E0
8.718906667E-1,2.973315006E-1,-2.125439501E-1,-1.285350732E0,1.336303654E0
8.818856666E-1,1.382670620E-1,-1.378943020E-1,-1.288904670E0,1.303613389E0
8.918806668E-1,-1.853600983E-1,-2.293459243E-1,-1.195296595E0,1.231134383E0
9.018746668E-1,-4.209363770E-1,-3.957664526E-1,-1.128410879E0,1.267726166E0
9.118696668E-1,-4.236483157E-1,-4.900083661E-1,-1.149901736E0,1.319795475E0
9.218646667E-1,-6.494566014E-1,-3.953676724E-1,-1.322187021E0,1.525217359E0
9.318586667E-1,-9.904662913E-1,-3.671133417E-1,-1.701680088E0,2.002875633E0
9.418536667E-1,-6.939727698E-1,-3.128757387E-1,-1.968680327E0,2.110732494E0
9.518486666E-1,-4.033931221E-1,-3.692779809E-1,-1.581778253E0,1.673653095E0
9.618426668E-1,-1.025040731E0,-1.405242042E0,-9.426460075E-1,1.978381963E0
9.718376668E-1,-2.485055543E0,-2.704460616E0,1.980826163E-1,3.678157826E0
9.818326668E-1,-3.499705333E0,-2.995474784E0,4.366823441E-1,4.627255998E0
9.918266668E-1,-4.442747782E0,-3.622678710E0,-3.337853819E-1,5.742231411E0
1.001821667E0,-4.426410661E0,-3.121617937E0,-1.009001380E-1,5.417360125E0
1.011816667E0,-2.868990739E0,-2.304764834E0,4.244961619E-1,3.704489950E0
1.021810667E0,-9.258525118E-1,-1.227499550E0,7.463467920E-1,1.709090856E0
1.031805667E0,6.737161875E-1,-3.942777514E-3,1.036167544E0,1.235941838E0
1.041800667E0,1.859682965E0,1.009547510E0,1.258585687E0,2.462040787E0
1.051794667E0,2.662024448E0,1.809735464E0,1.474869516E0,3.540728273E0
1.061789667E0,2.653963769E0,2.140265116E0,1.515699454E0,3.731166478E0
1.071784667E0,2.078987173E0,1.801616020E0,1.182459033E0,2.994364259E0
1.081778667E0,1.625801940E0,1.394970238E0,7.486003089E-1,2.269267797E0
1.091773667E0,1.449438221E0,6.637601334E-1,5.855723351E-1,1.698335548E0
1.101768667E0,1.727688503E0,5.482051188E-1,8.489741975E-1,2.001547802E0
1.111762667E0,1.969647456E0,7.531617218E-1,1.098165572E0,2.377547330E0
1.121757667E0,2.215384003E0,8.821676713E-1,1.256077816E0,2.695158170E0
1.131752667E0,2.486025303E0,9.776205432E-1,1.214433070E0,2.934435451E0
1.141747667E0,2.521151282E0,1.001308783E0,1.076280028E0,2.918424535E0
1.151741667E0,2.336195957E0,8.119934821E-1,8.106936461E-1,2.602761832E0
1.161736667E0,1.987879660E0,6.363828850E-1,5.633102310E-1,2.161935969E0
1.171731667E0,1.901736432E0,5.796531987E-1,4.669381768E-1,2.042212170E0
1.181725667E0,2.313457305E0,6.109527594E-1,7.802635664E-1,2.516775558E0
1.191720667E0,2.767480152E0,8.734424561E-1,1.553246180E0,3.291568290E0
1.201715667E0,2.788295655E0,1.083865036E0,2.239837936E0,3.737141963E0
1.211709667E0,2.798725333E0,1.108557243E0,2.578177130E0,3.963427805E0
1.221704667E0,2.744409085E0,1.166901346E0,2.549531620E0,3.923461668E0
1.231699667E0,2.765409653E0,1.013974437E0,2.347503303E0,3.766484629E0
1.241693667E0,3.035853024E0,8.602137154E-1,2.339300244E0,3.927937990E0
1.251688667E0,3.910612274E0,1.096138342E0,2.452276052E0,4.744266587E0
1.261683667E0,5.032130163E0,1.440308379E0,2.735628321E0,5.905970243E0
1.271677667E0,5.775183218E0,1.290172931E0,2.983575701E0,6.627142020E0
1.281672667E0,5.807165734E0,6.323927450E-1,3.015913142E0,6.574102716E0
1.291667667E0,5.227258181E0,-8.404729307E-2,2.473555824E0,5.783577651E0
1.301661667E0,5.667152401E0,-7.718476689E-1,1.422470863E0,5.893707535E0
1.311656667E0,6.019741259E0,-1.499566401E0,3.598560700E-1,6.214135548E0
1.321651667E0,5.376168053E0,-2.532785195E0,-8.172138762E-1,5.998835078E0
1.331645667E0,4.366644516E0,-3.796969006E0,-1.317120701E0,5.934590542E0
1.341640667E0,2.638927946E0,-4.860227285E0,-1.454008405E0,5.718381800E0
1.351635667E0,5.160439709E-1,-5.327709253E0,-1.679871728E0,5.610058492E0
1.361629667E0,-3.437253562E-1,-4.864862373E0,-1.790898659E0,5.195416348E0
1.371624667E0,-8.421858725E-1,-4.054925941E0,-2.044718689E0,4.618720163E0
1.381619667E0,-2.531857241E0,-3.825957747E0,-2.164401253E0,5.072759265E0
1.391613667E0,-5.430497457E0,-3.648618713E0,-2.281199970E0,6.928679127E0
1.401608667E0,-8.234506919E0,-3.281400706E0,-2.754931442E0,9.282474995E0
1.411603667E0,-9.224685527E0,-2.904633611E0,-2.950398014E0,1.011121001E1
1.421597667E0,-8.175651770E0,-2.820606784E0,-2.611940707E0,9.034342187E0
1.431592667E0,-6.408001056E0,-2.803698975E0,-2.021635051E0,7.280811339E0
1.441587667E0,-4.727892516E0,-2.592244361E0,-1.378166510E0,5.565253040E0
1.451581667E0,-3.488033414E0,-2.410062663E0,-9.603028446E-1,4.347063456E0
1.461576667E0,-2.597168301E0,-2.307883154E0,-1.031811368E0,3.624395472E0
1.471572042E0,-2.375751494E0,-2.216449074E0,-1.455167908E0,3.560106079E0
1.481566042E0,-2.567595131E0,-2.057801834E0,-2.105153171E0,3.906246666E0
1.491561042E0,-2.449161240E0,-1.771691140E0,-2.538023130E0,3.947004140E0
1.501556042E0,-2.589408461E0,-1.403707148E0,-2.612374570E0,3.936995153E0
1.511550042E0,-2.750543692E0,-1.468132939E0,-2.511189965E0,4.003371076E0
1.521545042E0,-2.708239086E0,-1.719428726E0,-2.245324963E0,3.915670860E0
1.531540042E0,-3.223958829E0,-1.895655035E0,-2.048797122E0,4.264386027E0
1.541534042E0,-3.688564259E0,-2.319808550E0,-1.984017574E0,4.787832885E0
1.551529042E0,-4.232077572E0,-3.028341399E0,-2.051816624E0,5.593861248E0
1.561524042E0,-3.820750509E0,-3.693362777E0,-2.131202517E0,5.725477030E0
1.571518042E0,-2.573811014E0,-4.022380339E0,-2.069161220E0,5.204370748E0
1.581513042E0,-2.241744713E0,-4.368779334E0,-2.016991484E0,5.308475005E0
1.591508042E0,-1.843523161E0,-4.339038641E0,-2.108516489E0,5.164462776E0
1.601502042E0,-1.472123664E0,-3.774892843E0,-1.998930020E0,4.518039983E0
1.611497042E0,-9.386754557E-2,-3.749617669E0,-1.693692207E0,4.115463166E0
1.621492042E0,2.154447538E0,-2.746946484E0,-9.527353781E-1,3.618710251E0
1.631486042E0,4.055897456E0,-5.518643063E-1,2.217848897E-3,4.093270490E0
1.641481042E0,5.187774857E0,1.261962454E0,9.080366305E-1,5.415725965E0
1.651476042E0,5.278286247E0,2.298480831E0,1.583002660E0,5.970696548E0
1.661471042E0,4.874129625E0,2.846850842E0,2.112908918E0,6.027112361E0
1.671465042E0,4.932644466E0,3.361700519E0,2.573823878E0,6.500506223E0
1.681460042E0,5.692049845E0,4.556640433E0,2.685631996E0,7.770136594E0
1.691454042E0,6.092526230E0,5.223037661E0,2.231027352E0,8.329254547E0
1.701449042E0,5.944889882E0,4.694210215E0,1.368950713E0,7.697489935E0
1.711444042E0,5.046027240E0,3.665320115E0,5.978675678E-1,6.265333837E0
1.721439042E0,3.734836785E0,2.552947564E0,-1.256566644E-3,4.523996977E0
1.731433042E0,2.822767330E0,1.243748378E0,-1.430497921E-1,3.087942465E0
1.741428042E0,2.144710754E0,6.347035646E-2,3.260471767E-1,2.170280965E0
1.751423042E0,1.330207939E0,-7.431618136E-1,1.067294904E0,1.860338963E0
1.761417042E0,4.190717000E-1,-1.388049474E0,1.552141933E0,2.124016716E0
1.771412042E0,-4.759358722E-1,-1.812435708E0,1.557676615E0,2.436759034E0
1.781407042E0,-6.419845176E-1,-1.857443481E0,1.233216373E0,2.320142890E0
1.791401042E0,-3.577551654E-1,-1.506072013E0,8.951087290E-1,1.788144654E0
1.801396042E0,-1.114140165E-1,-9.883221173E-1,6.784655884E-1,1.203955666E0
1.811391042E0,1.306475553E-1,-5.272972298E-1,6.600620618E-1,8.548643622E-1
1.821385042E0,4.112177199E-1,-1.703603822E-1,8.184447151E-1,9.316514502E-1
1.831380042E0,5.170827287E-1,1.120028311E-1,9.452965504E-1,1.083284243E0
1.841375042E0,6.444406405E-1,3.230341065E-1,9.254101700E-1,1.173046783E0
1.851369042E0,7.742882967E-1,4.890663797E-1,8.074870330E-1,1.220960113E0
1.861364042E0,7.551164460E-1,4.738513398E-1,5.663060519E-1,1.056143212E0
1.871359042E0,9.838340870E-1,5.278492069E-1,3.251221472E-1,1.162866590E0
1.881353042E0,1.131129250E0,5.843385726E-1,2.529335922E-1,1.298029410E0
1.891348042E0,9.042999673E-1,4.111376131E-1,2.193629730E-1,1.017306582E0
1.901343042E0,4.553624439E-1,1.166554606E-1,9.857411563E-2,4.802918988E-1
1.911337042E0,-7.762529612E-2,-2.269070506E-1,-8.154497713E-2,2.533023480E-1
1.921332042E0,-3.783266933E-1,-5.190532404E-1,-4.086896762E-1,7.612979737E-1
1.931327042E0,-1.152003810E-1,-4.702664119E-1,-7.072078693E-1,8.570674398E-1
1.941321042E0,4.080521835E-1,-2.021043313E-1,-6.696371698E-1,8.097942235E-1
1.951316042E0,8.412624510E-1,-4.460665405E-2,-3.035283798E-1,8.954561644E-1
1.961311042E0,9.013441998E-1,-1.200947928E-1,3.560182500E-1,9.765209266E-1
1.971305042E0,5.119332321E-1,-1.555031919E-1,9.230066720E-1,1.066863718E0
1.981300042E0,1.265776008E-1,-3.094106787E-1,1.039378250E0,1.091816836E0
1.991295042E0,-4.481423020E-2,-5.396944964E-1,6.821893877E-1,8.710113807E-1
2.001289042E0,6.181435190E-2,-4.335260171E-1,1.322985166E-1,4.574589808E-1
2.011284042E0,9.759295285E-2,-1.952437931E-1,-3.758514208E-1,4.346364155E-1
2.021279042E0,-3.468860686E-4,-1.373774081E-1,-8.496635842E-1,8.606979023E-1
2.031273042E0,-3.287428893E-2,-2.895400858E-1,-9.937784466E-1,1.035620481E0
2.041268042E0,-4.225620492E-1,-5.792637742E-1,-8.088728231E-1,1.080916486E0
2.051263042E0,-1.197091105E0,-9.544018346E-1,-7.630785996E-1,1.710613611E0
2.061257042E0,-1.511141988E0,-1.130927521E0,-7.442719075E-1,2.028912969E0
2.071252042E0,-1.523489261E0,-1.068072876E0,-7.927134579E-1,2.022422761E0
2.081247042E0,-1.638439235E0,-9.222134972E-1,-1.017069368E0,2.137613380E0
2.091241042E0,-1.713855307E0,-8.274716467E-1,-1.254794353E0,2.279587288E0
2.101236042E0,-2.274006287E0,-9.846161520E-1,-1.510943913E0,2.902330972E0
2.111231042E0,-3.187418409E0,-1.276080557E0,-1.952651939E0,3.949793323E0
2.121225042E0,-3.217488300E0,-1.647139599E0,-2.166746571E0,4.214272241E0
2.131220042E0,-2.431815767E0,-1.614699247E0,-1.786170015E0,3.422190075E0
2.141215042E0,-1.758139048E0,-1.178627937E0,-1.259201984E0,2.462885779E0
2.151209042E0,-1.465719793E0,-8.726238459E-1,-9.815899256E-1,1.968076643E0
2.161204042E0,-1.303234003E0,-7.063635314E-1,-9.412856528E-1,1.755957569E0
2.171199042E0,-7.889526750E-1,-3.242216760E-1,-7.032332245E-1,1.105487669E0
2.181193042E0,-1.970020509E-1,1.566118240E-1,-2.785098982E-1,3.753729277E-1
2.191188042E0,2.850086398E-1,4.298984045E-1,-9.873608351E-3,5.158876342E-1
2.201183042E0,6.670569398E-1,6.801428622E-1,1.396475896E-1,9.628399260E-1
2.211177042E0,1.078111230E0,8.764081639E-1,5.168222353E-1,1.482403561E0
2.221172042E0,1.267469362E0,9.166609812E-1,9.877093291E-1,1.849950177E0
2.231167042E0,1.151640405E0,7.634995991E-1,1.272846169E0,1.878655006E0
2.241161042E0,1.068090418E0,6.444216371E-1,1.380641052E0,1.860716556E0
2.251156042E0,1.113080503E0,5.131808817E-1,1.322875239E0,1.803413907E0
2.261151042E0,9.168641719E-1,3.578729868E-1,1.081107782E0,1.462021553E0
2.271145042E0,5.693840262E-1,2.446913570E-1,6.782106498E-1,9.187174294E-1
2.281140042E0,4.455240650E-1,1.268810713E-1,3.634281340E-1,5.887873193E-1
2.291135042E0,4.323842020E-1,1.701949060E-2,2.821620691E-1,5.165860959E-1
2.301129042E0,5.490709452E-1,-2.949920297E-3,4.836924961E-1,7.317417821E-1
2.311124042E0,6.964027995E-1,4.021130204E-3,8.142399824E-1,1.071438182E0
2.321119042E0,7.715541387E-1,4.784074903E-2,1.085623586E0,1.332727691E0
2.331113042E0,7.124465360E-1,7.890466690E-2,1.155253400E0,1.359564795E0
2.341108042E0,6.608359408E-1,8.533718884E-2,1.037443699E0,1.232994730E0
2.351103042E0,6.018582925E-1,1.070566714E-1,8.464148712E-1,1.044084608E0
2.361097042E0,5.286916445E-1,1.383486307E-1,5.905866149E-1,8.046413787E-1
2.371092042E0,4.749785368E-1,1.447349596E-1,3.422337314E-1,6.030561714E-1
2.381087042E0,3.835631673E-1,1.107187825E-1,1.636971876E-1,4.314813105E-1
2.391081042E0,2.048243098E-1,4.576615691E-3,5.177709460E-3,2.049408499E-1
2.401076042E0,5.051745817E-2,-5.794181406E-2,-9.743975580E-2,1.241119390E-1
2.411071042E0,-1.885975555E-2,-6.133495331E-2,-1.535396969E-1,1.664094511E-1
2.421065042E0,-4.661941186E-2,-5.759858251E-2,-1.607969686E-1,1.770497992E-1
2.431060042E0,6.238248199E-2,-3.321160018E-2,-9.054325730E-2,1.148593309E-1
2.441055042E0,2.201190180E-1,1.613831520E-2,1.034547865E-1,2.437534003E-1
2.451049042E0,2.655890134E-1,4.811381400E-2,2.554332769E-1,3.716162296E-1
2.461044042E0,2.296906176E-1,3.029383957E-2,3.573590165E-1,4.258884399E-1
2.471039042E0,1.834471817E-1,-4.225314975E-2,4.637125602E-1,5.004673173E-1
2.481032667E0,1.598120052E-1,-1.104772925E-1,5.159536314E-1,5.513195615E-1
2.491027667E0,1.740143073E-1,-9.785666227E-2,5.404566810E-1,5.761513078E-1
2.501022667E0,1.548133667E-1,-6.440240264E-2,5.249916726E-1,5.511180493E-1
2.511016667E0,1.323707297E-1,-8.676975667E-2,4.891377157E-1,5.141076791E-1
2.521011667E0,1.123837772E-1,-1.251502955E-1,4.453771538E-1,4.760814205E-1
2.531006667E0,1.222978775E-1,-2.151418680E-1,4.219172475E-1,4.891389965E-1
2.541000667E0,1.964225918E-1,-3.161595351E-1,4.130055061E-1,5.559786275E-1
2.550995667E0,2.871605614E-1,-4.070673662E-1,4.063920128E-1,6.428992898E-1
2.560990667E0,4.562946363E-1,-5.146467787E-1,4.697846013E-1,8.329247707E-1
2.570984667E0,6.061942953E-1,-5.581991798E-1,6.460208505E-1,1.047091585E0
2.580979667E0,5.405413194E-1,-5.625115013E-1,8.141838491E-1,1.127607843E0
2.590974667E0,4.477158938E-1,-7.483477092E-1,8.110626054E-1,1.190922485E0
2.600968667E0,5.134036607E-1,-1.325083147E0,6.783354878E-1,1.574664313E0
2.610963667E0,2.488746013E-1,-1.744603329E0,4.939642999E-1,1.830185802E0
2.620958667E0,-5.405429274E-2,-2.015856248E0,2.956054026E-1,2.038131701E0
2.630952667E0,-2.698645706E-1,-2.228255771E0,1.094382423E-1,2.247204352E0
2.640947667E0,-4.872070382E-1,-2.193788189E0,6.492426664E-2,2.248175366E0
2.650942667E0,-6.447794136E-1,-2.016829809E0,8.274979591E-3,2.117406774E0
2.660936667E0,-6.258021290E-1,-1.761730408E0,-7.058437139E-2,1.870910070E0
2.670931667E0,-3.675838964E-1,-1.459221198E0,-1.222942230E-1,1.509768294E0
2.680926667E0,2.806109490E-1,-1.020847839E0,-1.213399574E-1,1.065643562E0
2.690920667E0,1.075518721E0,-4.403754455E-1,9.802623153E-2,1.166310505E0
2.700915667E0,1.628198567E0,2.474424720E-2,4.646261877E-1,1.693375430E0
2.710910667E0,1.841223013E0,3.247812545E-1,7.190338629E-1,2.003146211E0
2.720904667E0,1.475705230E0,4.066352570E-1,7.715123311E-1,1.714143936E0
2.730899667E0,1.050137712E0,3.532092476E-1,4.714697689E-1,1.204088755E0
2.740894667E0,1.161670865E0,2.297528905E-1,1.000329959E-1,1.188390588E0
2.750889667E0,1.442417177E0,7.914498746E-2,-2.833116317E-1,1.472106220E0
2.760883667E0,1.488508439E0,1.181476700E-1,-5.285760158E-1,1.583985117E0
2.770878667E0,1.468792213E0,3.294064021E-1,-5.906746155E-1,1.617020607E0
2.780872667E0,1.675655593E0,4.559120822E-1,-3.578595382E-1,1.773059768E0
2.790867667E0,1.829067528E0,4.626667857E-1,1.882581246E-1,1.896045806E0
2.800862667E0,1.544546400E0,4.520172518E-1,5.992442948E-1,1.717276012E0
2.810857667E0,1.074057209E0,3.230358607E-1,6.943890184E-1,1.319138797E0
2.820851667E0,6.447442572E-1,-2.195337117E-2,6.242885041E-1,8.977267090E-1
2.830846667E0,6.376534849E-3,-5.241549361E-1,5.747883153E-1,7.779207316E-1
2.840840667E0,-7.514810128E-1,-1.088298395E0,7.743467689E-1,1.532556697E0
2.850835667E0,-1.496752575E0,-1.688047305E0,1.272255308E0,2.590058984E0
2.860830667E0,-2.216748159E0,-2.290233334E0,1.752814574E0,3.637512894E0
2.870825667E0,-2.595046932E0,-2.681741844E0,2.139763425E0,4.301696806E0
2.880819667E0,-2.781908741E0,-2.952623464E0,2.341418690E0,4.683934569E0
2.890814667E0,-2.838540194E0,-3.095345812E0,2.051513153E0,4.674096956E0
2.900808667E0,-2.777650506E0,-3.395619047E0,1.766731532E0,4.729366908E0
2.910803667E0,-3.110414964E0,-3.852887684E0,1.785474197E0,5.263776483E0
2.920798667E0,-3.980089475E0,-4.280067133E0,1.796266987E0,6.114463343E0
2.930793667E0,-5.334190307E0,-4.625145827E0,1.821328154E0,7.291282219E0
2.940787667E0,-6.474627739E0,-4.671251122E0,1.944819009E0,8.217281326E0
2.950782667E0,-6.340768016E0,-4.527540595E0,2.235070117E0,8.105522889E0
2.960777667E0,-5.097109101E0,-4.327836546E0,2.561368139E0,7.160397831E0
2.970771667E0,-3.205219672E0,-3.591432359E0,2.788690342E0,5.563147792E0
2.980766667E0,-1.342927972E0,-2.593044845E0,2.796318619E0,4.043109562E0
2.990761667E0,-1.346099210E-1,-2.187562659E0,2.357466958E0,3.218881898E0
3.000755667E0,6.586755408E-1,-1.681301372E0,1.632430344E0,2.434226078E0
3.010750667E0,1.463939901E0,-8.814829624E-1,1.003085752E0,1.981492688E0
3.020745667E0,1.870188365E0,-2.689257270E-1,4.516523856E-1,1.942656800E0
3.030739667E0,2.386525573E0,6.684531087E-1,-1.245749295E-1,2.481502123E0
3.040734667E0,3.424980256E0,1.859725649E0,-6.862099332E-1,3.957265889E0
3.050729667E0,4.762929617E0,2.933187320E0,-9.661056215E-1,5.676481873E0
3.060723667E0,5.953714499E0,3.764860191E0,-1.011540826E0,7.116467062E0
3.070718667E0,6.613559337E0,4.325992334E0,-8.648938268E-1,7.949931956E0
3.080713667E0,6.777067952E0,4.738109940E0,-7.470350093E-1,8.302794538E0
3.090707667E0,6.887828250E0,5.070284999E0,-7.806722867E-1,8.588330291E0
3.100702667E0,7.144435648E0,5.288002566E0,-9.371630734E-1,8.937796512E0
3.110697667E0,7.262480407E0,5.386412374E0,-1.149106514E0,9.114686265E0
3.120691667E0,6.970043026E0,5.230245523E0,-1.339909932E0,8.816593823E0
3.130686667E0,6.393411083E0,4.729686441E0,-1.385799465E0,8.072550977E0
3.140681667E0,5.425971712E0,3.869168086E0,-1.290424361E0,6.787991288E0
3.150675667E0,3.326185700E0,2.805962432E0,-1.728544536E0,4.682392839E0
3.160670667E0,1.692734433E0,2.419674316E0,-2.579075847E0,3.920689465E0
3.170665667E0,1.638403859E0,2.349126490E0,-2.996118563E0,4.144814702E0
3.180659667E0,2.088601750E0,2.446371533E0,-2.932548804E0,4.352796048E0
