"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.675274136562665E9,"2023-02-01 09:55:36.563 UTC-08:00"
"PAUSE",4.100872254185379E1,1.675274177570388E9,"2023-02-01 09:56:17.570 UTC-08:00"
